record_id,attendance_pct,assessment_pct,assignment_pct,engagement_score,prior_performance_pct,risk_label
STU-001,92,84,88,8,81,low
STU-002,42,75,78,7,74,medium
STU-003,55,35,30,3,40,high
STU-004,78,48,52,9,45,medium
STU-005,70,60,60,5,60,medium
STU-006,88,79,82,8,77,low
STU-007,65,72,70,6,69,medium
STU-008,95,91,94,9,90,low
STU-009,48,45,50,4,52,high
STU-010,76,68,65,7,64,medium
STU-011,100,100,98,10,99,low
STU-012,0,20,15,1,25,high
STU-013,50,50,50,5,50,medium
STU-014,99,88,90,10,92,low
STU-015,35,82,80,8,85,medium
STU-016,72,30,35,2,38,high
STU-017,80,55,58,4,57,medium
STU-018,25,40,35,2,30,high
STU-019,90,65,70,7,68,low
STU-020,60,90,88,9,86,medium
